metric,z_score
OpponentSoloTackles,0.6136576592467848
PassingDropbacks,0.6560361787424386
OpponentPuntAverage,0.6615151469839538
OpponentKickoffsInEndZone,0.6660024852511139
OpponentFirstDownsByRushing,0.6698479446003739
OpponentOffensiveYards,0.6929062713908833
OpponentQuarterbackHits,0.7079845282431747
RedZonePercentage,0.7258931284116417
TurnoverDifferential,0.7329487671201315
OpponentFumbles,0.7757258195045154
OpponentRushingTouchdowns,0.7789964634467443
BlockedKickReturnYards,0.7829192891661345
OpponentSafeties,0.8040724087286836
WindSpeed,0.8043996665398437
FumblesForced,0.8386702113690202
OpponentRushingYards,0.8636620265993031
PointSpread,0.9001836566371922
OpponentScoreQuarter1,1.1189874034421172
OpponentPassingYardsPerAttempt,1.1222510409525408
QuarterbackHitsPercentage,1.1418501648968074
OpponentRedZoneAttempts,1.1853068778774174
ExtraPointPassingConversions,1.23942333880154
ThirdDownAttempts,1.2456667695166024
OpponentRushingYardsPerAttempt,1.2557651246066606
OpponentOffensiveYardsPerPlay,1.2695715205165514
BlockedKicks,1.326806944007555
OpponentPuntReturnYards,1.3785911188609696
FumblesRecovered,1.4090914790937716
OpponentFumblesLost,1.4214846311870668
PuntNetYards,1.4363286287040624
OpponentTacklesForLossDifferential,1.5066938812871784
OpponentTacklesForLoss,1.5449097623850574
OpponentTacklesForLossPercentage,1.5463997814657455
OpponentFieldGoalAttempts,1.5562037184887718
PuntYards,1.5719593486532215
Punts,1.619249684001724
PassingYardsPerAttempt,1.775808184646792
OpponentFieldGoalsMade,1.8366345544125653
OpponentQuarterbackSacksDifferential,1.8528599724489838
FourthDownAttempts,1.9228296182324636
FourthDownConversions,1.9434055268441786
OpponentPassingYardsPerCompletion,2.0068439253783
PuntReturnTouchdowns,2.081665999466133
BlockedKickReturnTouchdowns,2.081665999466133
TimesSackedPercentage,2.1780143338662974
OpponentPuntReturns,2.1931939262438416
OpponentSacks,2.2534828711060215
TimesSacked,2.2534828711060215
PuntReturnLong,2.3518434618542754
OpponentBlockedKicks,2.4147172284411575
OpponentSackYards,2.4365821344926752
TimesSackedYards,2.4365821344926752
FieldGoalsHadBlocked,2.9576003284458805
OpponentPuntsHadBlocked,2.9824045403173027
ExtraPointPassingAttempts,3.4172644192665795
SeasonType,
Season,
GoalToGoAttempts,
GoalToGoConversions,
OpponentGoalToGoAttempts,
OpponentGoalToGoConversions,
GoalToGoPercentage,
OpponentGoalToGoPercentage,
FieldGoalReturnYards,
FieldGoalReturnTouchdowns,
OpponentFieldGoalReturnYards,
OpponentFieldGoalReturnTouchdowns,
Games,
