position_group,z_score
Defense / Secondary,-0.5632674249529684
QB / Passing Offense,-0.2612502981027523
RB / Rushing Offense,-0.16863386793003432
Other/Unknown,-0.16782621732880432
Special Teams,0.3749334461235375
WR/TE Receiving,0.7380282160560071
Pass Rush / DL,0.8603063940114614
