playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
4361575,Jace Ruder,LB,North Texas,American Athletic,,,,,,,,,,,,,,0,,0,,0,4,,0,1,7,,,,,,,
4361699,Charles Hicks,LB,Missouri,SEC,,,,,,,,,,,,,,1,,0,,2,12,,0,4.5,33,,,,,,,
4361763,Tory Spears,S,Texas State,Sun Belt,,,,,,,,,,,,,,0,,0,,0,14,,0,0,22,,,,,,,
4361802,Cameron Carroll,RB,Florida,SEC,,,3,,,,,,,4,,,,0,,0,,0,0,,00,0,1,,,1,,0.3,,
4361977,Keshon Artis,LB,Norfolk State,MEAC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,2,,,,,,,
4362075,Cameron Rising,QB,Utah,Big 12,66,,8,34,,,,3,,25,,,0.515,,,,,,,,70,,,,,55533,8.4,4.1,,
4362159,Alan Bowman,QB,Oklahoma State,Big 12,340,,24,204,,,,12,,1612,,,0.600,,,,1,,,,1710,,,,,244211-38,7.2,-1.6,,11.0
4362188,Sterling Galban,WR,Massachusetts,FBS Independents,,18.03.5,1,,,,1,,,189210,0,16,,,,,025,,,,0000,,,,,1821210-7,,-7.0,,8.4
4362247,DaShon Bussell,CB,Western Michigan,Mid-American,,0.0,,,,,1,,,0,1,1,,2,,1,0,0,5,,00,0,8,,,0,,,,
4362248,Anthony Torres,TE,Toledo,Mid-American,,,,,,,,,,78,,,,0,,0,27,0,1,,08,0,1,,,362,,,,13.4
4362263,Jalynn Williams,RB,Western Carolina,Southern,,,34,,,,,,,917,,,,,,,3,,,,010,,,,,15106,,3.1,,5.0
4362272,Daniel Bolden,LB,Toledo,Mid-American,,,,,,,,,,,,,,0,,2,,1.5,47,,0,6.5,90,,,,,,,
4362313,O'Shann Allison,RB,Austin Peay,UAC,,,61,,,,,,,949,,,,,,,13,,,,00,,,,,25237,,3.9,,1.9
4362317,Keye Thompson,LB,Pittsburgh,ACC,,,,,,,,,,,,,,1,,1,,0,9,,0,2.0,28,,,,,,,
4362332,Alec Burton,TE,Utah Tech,UAC,,,,,,,,,,64,,,,,,,3,,,,2,,,,,119,,,,39.7
4362344,Capone Blue,DB,Wake Forest,ACC,,,,,,,,,,,,,,1,,0,,0,13,,0,0,19,,,,,,,
4362535,Treshawn Chamberlain,LB,Samford,Southern,,,,,,,,,,5,,,,,,,1,,,,0,,,,,5,,,,5.0
4362643,Davin Cotton,DT,Southern,SWAC,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
