playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
4694364,Isaiah Wadsworth,DB,Wofford,Southern,,0.04.0,,,,,,1,,4,,1,,,,,,,,,00,,,,,04,,,,
4694368,Ezra King,PK,Presbyterian,Pioneer,,,,,,,,,12,59,,43,,,,,,,,3,,,,,,1613,,,37.5,
4694372,John Boyles,LB,Wofford,Southern,,,,,,,,,,,,,,0,,0,,0,2,,0,0,6,,,,,,,
4694379,Chuck Smith,DL,Villanova,CAA,,,,,,,,,,,,,,0,,0,,0,0,,0,0,1,,,,,,,
4694387,Anthony Chideme-Alfaro,CB,North Dakota State,MVFC,,0.0,,,,,,1,,,,,,0,,0,,0,1,,00,0,1,,,0,,,,
4694389,Luke Duby,QB,Black Hills State,Rocky Mountain,36,,5,17,,,1,2,,2,0,,0.472,,,,0,,,,20,,,,,160-20,4.4,-4.0,,
4694391,Holt Fletcher,DL,Boston College,ACC,,,,,,,,,,,,,,0,,1,,0,0,,0,0,0,,,,,,,
4694399,Jackson Kennedy,PK,Syracuse,ACC,,,,,9,7,,,,44,,,0.778,,41,,,,,,,,,21,20,,,,,
4694401,Brody Kidwell,DB,Boston College,ACC,,,,,,,,,,,,,,1,,0,,0,0,,0,0,0,,,,,,,
4694404,Nicholas Laboy,WR,Delaware,CAA,,,,,,,,,,34,,,,,,,15,,,,1,,,,,164,,,,10.9
4694411,Matt Robbert,TE,Richmond,CAA,,,,,,,,,,27,,,,,,,24,,,,1,,,,,252,,,,10.5
4694413,Noah Taylor,LB,Northwestern,Big Ten,,15.0,,,,,,,,15,,1,,0,,0,,0,1,,00,0,2,,,15,,,,
4694430,Matt Noll,PK,Jackson State,SWAC,,,,,,,,,15,66,,33,,,,,,,,3,,,,,,1403,,,42.5,
4694431,Aiden Weber,LB,South Carolina State,MEAC,,2.0,,,,,,,,2,,1,,0,,0,,0,0,,00,0,1,,,2,,,,
4694432,Jeffery Broughton,DB,Delaware State,MEAC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4694440,Ronald Holmes,LB,UAlbany,CAA,,,,,,,,,,,,,,0,,0,,0,5,,0,1,10,,,,,,,
4694443,Michel Bergeron,LS,Delaware State,MEAC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4694457,Eric Montes,DL,Delaware State,MEAC,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
4694460,Macklin Ayers,LB,Massachusetts,FBS Independents,,,,,,,,,,,,,,0,,0,,0,8,,0,2.0,38,,,,,,,
4694462,Isaac Boston,WR,Central Connecticut,NEC,,15.0,,,,,,1,,31,,,,,,,21,,,,05,,,,,15243,,,,11.6
4694464,Danny Cronin,LB,Dartmouth,Ivy,,2.0,,,,,1,1,,,1,,,,,,1,,,,0,,,,,2,,,,
4694468,Jace Henry,TE,Nevada,Mountain West,,,,,,,,,,17,,,,,,,7,,,,2,,,,,49,,,,7.0
4694470,Cam Maddox,S,North Carolina A&T,CAA,,,,,,,,,,16,,,,0,,0,1,0,3,,00,0,3,,,16,,,,16.0
4694471,Tyson McCloud,CB,Stony Brook,CAA,,0.0,,,,,,1,,,,,,0,,0,,1,2,,00,1,2,,,0,,,,
4694475,Onye Onuoha,DB,Butler,Pioneer,,9.0,,,,,,1,,,,,,,,,,,,,0,,,,,9,,,,
4694481,Paxton Scott,WR,Dartmouth,Ivy,,,,,,,,,,44,,,,,,,31,,,,2,,,,,397,,,,12.8
4694483,Leonard St. Gourdin,DB,Massachusetts,FBS Independents,,,,,,,,,,,,,,2,,0,,0,8,,0,0.5,18,,,,,,,
4694487,DreSean Kendrick,WR,William & Mary,CAA,,22.78.5,1,,,,1,,,3121620,0,38,,,,,016,,,,0020,,,,,6868223-3,,-3.0,,13.9
4694488,JT Mayo,WR,William & Mary,CAA,,9.0,,,,,,,,931,,1,,,,,14,,,,01,,,,,9179,,,,12.8
4694492,Malachi Imoh,RB,William & Mary,CAA,1,,111,1,,,3,0,,4162,2,,1.000,,,,022,,,,019,,,,,7248686,7.0,6.2,,11.3
4694493,Quinn Osborne,LB,William & Mary,CAA,,,,,,,,,,,,,,0,,0,,0,2,,0,0,8,,,,,,,
4694494,Ry Yates,TE,Yale,Ivy,,,,,,,,,,24,,,,,,,4,,,,1,,,,,57,,,,14.3
4694496,John Kearney,S,William & Mary,CAA,,37.0,,,,,,,,37,,1,,0,,0,,0,0,,00,0,1,,,37,,,,
4694498,Ethan Chang,PK,Old Dominion,Sun Belt,,,,,,,,,,,,,,0,,0,,0,2,,0,0,2,,,,,,,
4694500,James Jennette,DL,Virginia Tech,ACC,,,,,,,,,,,,,,0,,0,,1,1,,0,1,3,,,,,,,
4694501,Alex Washington,LB,William & Mary,CAA,,,,,,,,,,,,,,0,,0,,0,2,,0,0,6,,,,,,,
4694502,John Pius,LB,Wisconsin,Big Ten,,,,,,,,,,,,,,0,,3,,2.5,11,,0,3.5,21,,,,,,,
4694508,Tyler Rose,WR,Marist,Pioneer,,,,,,,,,,14,,,,,,,6,,,,0,,,,,52,,,,8.7
4694513,Mike Malone,DE,William & Mary,CAA,,,,,,,,,,,,,,0,,0,,0,1,,0,0,3,,,,,,,
4694530,Luke Brenner,WR,Dayton,Pioneer,,24.3,1,,,,,,,60696,,8,,,,,24,,,,040,,,,,1943056,,6.0,,12.7
4694535,Jake Coleman,WR,Dayton,Pioneer,,,,,,,,,,35,,,,,,,38,,,,5,,,,,514,,,,13.5
4694540,Cade Beam,TE,Dayton,Pioneer,,0.0,7,,,,,,,076,,1,,,,,1,,,,002,,,,,0712,,1.7,,7.0
4694555,Alec Keathley,TE,Dayton,Pioneer,,,,,,,,,,26,,,,,,,22,,,,1,,,,,204,,,,9.3
4694576,Kobe Tracy,QB,Idaho State,Big Sky,429,,48,258,,,6,10,,12,2,,0.601,,,,0,,,,242,,,,,301177,7.0,1.6,,
4694583,Quali Conley,RB,Arizona,Big 12,,18.5,150,,,,2,,,211658,2,2,,0,,0,039,0,0,,0018,0,1,,,37245745,,5.0,,6.3
4694588,Devyn Perkins,DB,Southern Utah,UAC,,,,,,,,,,,,,,0,,0,,0,2,,0,0,4,,,,,,,
4694589,Damani Wilks,WR,Utah Tech,UAC,,,,,,,,,,21,,,,,,,3,,,,0,,,,,33,,,,11.0
4694596,Amari Duncan,CB,Utah Tech,UAC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4694602,Malini Ti'a,DB,Sacramento State,Big Sky,,3.0,,,,,,1,,,,,,0,,0,,0,1,,00,0,1,,,3,,,,
4694663,Braylen Brooks,DB,Western Illinois,Big South-OVC,,,,,,,0,,,,0,,,0,,0,1,0,4,,0,0,5,,,,,,,
4694674,Ludovick Choquette,RB,Long Island University,NEC,,,94,,,,1,,,2844,1,,,,,,013,,,,22,,,,,61511,,5.4,,4.7
4694681,Brian Bruce,DL,Western Illinois,Big South-OVC,,,,,,,0,,,,0,,,0,,0,1,0,1,,0,0,3,,,,,,,
4694698,Tahj Summey,S,VMI,Southern,,3.0,,,,,1,,,2,0,1,,,,,0,,,,0,,,,,3,,,,
4694700,Evan Eller,LB,Wyoming,Mountain West,,,,,,,,,,,,,,0,,0,,0,1,,0,0,2,,,,,,,
4694701,Rashad Raymond,RB,UT Martin,Big South-OVC,,,24,,,,,,,36,,,,,,,2,,,,02,,,,,647,,2.0,,3.0
4694703,Julio DaSilva,WR,VMI,Southern,,,,,,,1,,,20,1,,,,,,018,,,,0,,,,,161,,,,8.9
4694705,Alex Oliver,CB,Liberty,Conference USA,,,,,,,,,,,,,,3,,0,,0,12,,0,0,18,,,,,,,
4694710,Jack Culbreath,P,Wyoming,Mountain West,,,,,,,,,22,62,,66,,,,,,,,2,,,,,,2665,,,40.4,
4694728,Chance Knox,WR,Stony Brook,CAA,,27.56.0,1,,,,,,,33650,,21,,,,,9,,,,0000,,,,,55618-2,,-2.0,,2.0
4694740,Brendan Bell,LB,Villanova,CAA,,38.0,2,,,,0,1,,06,0,,,0,,0,31,0,4,,0102,0,5,,,38010,,5.0,,0.0
4694744,Timmy Furgeson,LB,Villanova,CAA,,,,,,,0,,,3,0,,,,,,21,,,,0,,,,,3,,,,3.0
4694746,Ayden Howard,DL,Villanova,CAA,,,,,,,,,,,,,,0,,0,,0,4,,0,0,6,,,,,,,
4694747,Richie Kimmel,LB,Villanova,CAA,,0.0,,,,,0,1,,,0,,,0,,0,1,0,2,,00,0,3,,,0,,,,
4694748,Tyrell Mims,DB,Villanova,CAA,,0.0,,,,,,1,,,,,,0,,0,,0,3,,00,0,4,,,0,,,,
4694749,Jordan Nelson,LB,Villanova,CAA,,,,,,,0,,,,0,,,0,,0,1,0,1,,0,0,2,,,,,,,
4694750,Obinna Nwobodo,DL,Villanova,CAA,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4694752,Ethan Potter,DB,Villanova,CAA,,15.3,,,,,0,,,29,0,4,,1,,0,2,0,7,,00,0.5,10,,,61,,,,
4694754,Kshawn Schulters,DB,Monmouth,CAA,,0.0,,,,,,1,,,,,,1,,0,,0,3,,00,0,3,,,0,,,,
4694755,Ty Trinh,DB,Villanova,CAA,,14.5,,,,,,2,,,,,,0,,0,,0,4,,00,2,5,,,29,,,,
4694803,Braden Contreras,WR,Illinois State,MVFC,,0.03.0,,,,,1,,,0820,0,15,,,,,03,,,,001,,,,,01541,,,,13.7
4694806,Jake Vickers,TE,Valparaiso,Pioneer,,,,,,,,,,16,,,,,,,5,,,,0,,,,,44,,,,8.8
4694814,Anthony Franklin,DE,Stanford,ACC,,,,,,,,,,,,,,1,,1,,1,10,,0,3,19,,,,,,,
4694854,Tim Nesslage,TE,Drake,Pioneer,,,,,,,,,,9,,,,,,,7,,,,0,,,,,39,,,,5.6
4694855,Ethan Zager,DB,Drake,Pioneer,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
4694856,Luke Bailey,QB,Drake,Pioneer,386,,34,255,,,2,9,,417,1,,0.661,,,,01,,,,1600,,,,,2635-7-24,6.8,-0.7,,-7.0
4694857,Hunter Johnson,WR,Drake,Pioneer,,,1,,,,,,,324,,,,,,,9,,,,10,,,,,1254,,4.0,,13.9
4694860,Shane Dunning,PK,Drake,Pioneer,,,,,21,18,,,20,5281,,44,0.857,,80,,,,,2,,,,27,26,1809,,,41.1,
4694862,Jun Ahn,RB,Drake,Pioneer,,,14,,,,,,,176,,,,,,,1,,,,01,,,,,1738,,2.7,,17.0
4694867,Joe Frommelt,LB,Drake,Pioneer,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
4694869,Sam Rodriguez,TE,Drake,Pioneer,,,,,,,,,,43,,,,,,,7,,,,0,,,,,105,,,,15.0
4694871,Brandon Langdok,WR,Drake,Pioneer,,24.7,,,,,,,,3014,,7,,,,,3,,,,01,,,,,17325,,,,8.3
4694872,Jacob McCauley,WR,Drake,Pioneer,,,,,,,,,,6,,,,,,,1,,,,0,,,,,6,,,,6.0
4694875,Eli Stewart,TE,Drake,Pioneer,,,,,,,,,,8,,,,,,,1,,,,0,,,,,8,,,,8.0
4694876,Bennet Krebs,OL,Drake,Pioneer,,,,,,,1,,,0,1,,,,,,00,,,,0,,,,,2,,,,0
4694889,Tyler Radocha,DB,Drake,Pioneer,,27.0,1,,,,,2,,3,,,,,,,,,,,00,,,,,543,,3.0,,
4694890,Trey Radocha,WR,Drake,Pioneer,,5.7,1,,,,3,,,19630,3,11,,,,,050,,,,040,,,,,635770,,0.0,,11.5
4694909,Donovan Stanley,DB,Duquesne,NEC,,,,,,,,,,,,,,1,,0,,0,2,,0,0,3,,,,,,,
4694912,Abdul Janneh,WR,Georgia Tech,ACC,,,,,,,,,,60,,,,0,,0,4,0,3,,00,0,5,,,75,,,,18.8
4694924,Joey Isabella,WR,Duquesne,NEC,,,2,,,,,,,8513,,,,,,,43,,,,110,,,,,78214,,7.0,,18.2
4694931,Jaelen Carson,DB,Duquesne,NEC,,16.0,,,,,0,,,17,0,2,,0,,0,1,0,4,,00,0,6,,,32,,,,
4694936,Clemente Ojinnaka,DL,Duquesne,NEC,,,,,,,,,,,,,,0,,0,,0,4,,0,0,4,,,,,,,
4694937,Kevin Kurzinger,DL,Duquesne,NEC,,,,,,,0,,,,0,,,0,,0,1,0,1,,0,0.5,4,,,,,,,
4694938,Ty'shaun Granger,WR,Norfolk State,MEAC,,,,,,,,,,10,,,,,,,1,,,,0,,,,,10,,,,10.0
4694939,Nathan Kent,QB,Towson,CAA,,,1,,,,,,,2,,,,,,,,,,,1,,,,,2,,2.0,,
4694944,Keegan Vaughan,PK,Towson,CAA,,,,,19,15,,,,49,,,0.789,,80,,,,,,,,,35,35,,,,,
4694946,Devin Matthews,RB,Towson,CAA,,27.0,132,,,,1,,,272075,0,1,,0,,0,021,0,0,,0015,0,1,,,27142896,,6.8,,6.8
4694948,Dion Crews-Harris,RB,Towson,CAA,,,1,,,,0,,,21,0,,,0,,1,1,0,1,,00,2,4,,,21,,21.0,,
4694950,Daniel Raymond,LB,Towson,CAA,,62.0,,,,,,1,,,,,,0,,0,,0,4,,01,0.5,5,,,62,,,,
4694952,Josh Cupitt,P,Delaware,CAA,,,,,,,,,4,68,,27,,,,,,,,3,,,,,,1150,,,42.6,
4694967,Oshae Baker,S,UT Martin,Big South-OVC,,21.020.912.6,,,,,1,3,,38453,1,1919,,0,,0,02,0,9,,11000,0,10,,,633982395,,,,2.5
4694987,Josiah Tingley,OL,UT Martin,Big South-OVC,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
4694997,Daylan Dotson,DE,UCF,Big 12,,,,,,,,,,,,,,1,,5,,4,19,,0,9.5,31,,,,,,,
4695005,Ashton Maples,WR,Tennessee Tech,Big South-OVC,,,,,,,,,,33,,,,,,,11,,,,3,,,,,114,,,,10.4
4695006,Nyquan Washington,CB,Western Michigan,Mid-American,,,,,,,,,,,,,,5,,0,,0,24,,0,2.5,29,,,,,,,
4695007,Jyron Gilmore,DB,Georgia State,Sun Belt,,0.04.0,,,,,2,2,,14,1,3,,1,,1,0,0,25,,000,2,54,,,012,,,,
4695009,Ethan Roberts,QB,Tennessee Tech,Big South-OVC,,,2,,,,,,,6,,,,,,,,,,,0,,,,,10,,5.0,,
4695015,Hayden Olsen,PK,Tennessee Tech,Big South-OVC,,,,,2,2,,,,46,,,1.000,,8,,,,,,,,,2,2,,,,,
4695022,Daniel Rickert,DL,Tennessee Tech,Big South-OVC,,,,,,,0,,,,0,,,0,,0,1,0,2,,0,1,2,,,,,,,
4695032,Hunter Barnhart,TE,Tennessee Tech,Big South-OVC,,-14.0,,,,,,,,022,,1,,,,,6,,,,01,,,,,-1465,,,,10.8
4695034,Adrian Hall Jr.,DT,Bethune-Cookman,SWAC,,,,,,,0,,,,0,,,0,,0,1,0,1,,0,0,10,,,,,,,
4695037,Kanstin Brooks,DL,Tennessee Tech,Big South-OVC,,0.0,,,,,0,1,,,0,,,0,,0,1,1,3,,00,1,4,,,0,,,,
4695040,Kendall Johnson,DE,UAB,American Athletic,,,,,,,,,,,,,,0,,2,,2,13,,0,3.5,18,,,,,,,
4695044,Zaire Thornton,WR,Chattanooga,Southern,,,,,,,,,,12,,,,,,,2,,,,0,,,,,18,,,,9.0
4695047,Jalen Rouse,RB,Tennessee State,Big South-OVC,,,15,,,,1,,,1420,0,,,,,,06,,,,02,,,,,4268,,4.5,,7.0
4695053,Detoye Adewole,DL,Murray State,MVFC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4695057,Chris Walker,DL,Tennessee State,Big South-OVC,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
4695058,Ahmad Nelson,LB,Tennessee State,Big South-OVC,,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,
4695072,James Lowery,PK,Tennessee State,Big South-OVC,,,,,19,11,,,1,4051,,17,0.579,,75,,,,,1,,,,42,42,650,,,38.2,
4695075,Sheldon Arnold Jr.,DB,UCF,Big 12,,22.0,,,,,,1,,,,,,0,,0,,0,38,,00,2.0,49,,,22,,,,
4695076,Bryson Irby,RB,East Tennessee State,Southern,,,145,,,,1,,,2061,1,,,,,,09,,,,06,,,,,45763,,5.3,,5.0
4695080,Trey Foster,RB,East Tennessee State,Southern,,,22,,,,,,,2652,,,,,,,2,,,,01,,,,,27114,,5.2,,13.5
4695086,Chandler Martin,LB,Memphis,American Athletic,,0.0,,,,,0,1,,,0,,,4,,10,4,6.5,52,,10,14.5,93,,,0,,,,
4695088,Chris Hope,DB,East Tennessee State,Southern,,,,,,,,,,,,,,0,,0,,0,1,,0,0,4,,,,,,,
4695117,Tyris Harvey,DB,Robert Morris,NEC,,15.5,,,,,,2,,,,,,1,,0,,0,0,,00,0,1,,,31,,,,
4695118,Jordan Vincent,S,Utah State,Mountain West,,9.8,,,,,,4,,,,,,2,,1,,0,63,,00,0.5,117,,,39,,,,
4695119,Kendi Young,RB,Eastern Illinois,Big South-OVC,,,8,,,,,,,56,,,,,,,1,,,,00,,,,,516,,2.0,,5.0
4695121,Harrison Bey-Buie,RB,Northern Iowa,MVFC,,,17,,,,,,,10,,,,,,,,,,,0,,,,,74,,4.4,,
4695125,Cooper Willman,WR,Eastern Illinois,Big South-OVC,,10.6,3,,,,,,,25809,,5,,,,,66,,,,080,,,,,5395511,,3.7,,14.5
4695126,Kaelin Drakeford,DB,Eastern Illinois,Big South-OVC,,0.0,,,,,,1,,,,,,1,,0,,0,8,,00,0,9,,,0,,,,
4695128,Phoenix Porter,LB,Eastern Illinois,Big South-OVC,,,,,,,,,,,,,,0,,1,,0,5,,0,0.5,9,,,,,,,
4695131,Colin Bohanek,LB,Southern Illinois,MVFC,,,,,,,,,,,,,,0,,1,,0.5,3,,0,0.5,12,,,,,,,
4695134,Jaron Hacha,DL,Eastern Illinois,Big South-OVC,,,,,,,,,,,,,,0,,0,,0,0,,0,0,2,,,,,,,
4695135,Drake Van Hyfte,DL,Eastern Illinois,Big South-OVC,,,,,,,,,,,,,,0,,1,,0,3,,0,1,5,,,,,,,
4695149,DeAirious Smith,WR,Eastern Illinois,Big South-OVC,,,,,,,1,,,47,1,,,,,,06,,,,0,,,,,110,,,,18.3
4695152,Jamari Johnson,DL,Eastern Illinois,Big South-OVC,,,,,,,,,,,,,,0,,1,,0,0,,0,0,0,,,,,,,
4695176,Justice Jackson,RB,Idaho State,Big Sky,,28.1,31,,,,,,,85913,,7,,,,,5,,,,101,,,,,19713160,,5.2,,2.6
4695177,Cage Schenck,DB,Eastern Washington,Big Sky,,0.0,,,,,,1,,,,,,0,,0,,0,3,,00,1,3,,,0,,,,
4695179,Brandon Montoya,RB,Eastern Washington,Big Sky,,,2,,,,,,,10,,,,,,,,,,,1,,,,,17,,8.5,,
4695181,DaJean Wells,CB,Eastern Washington,Big Sky,,,,,,,,,,,,,,1,,0,,0,2,,0,0,2,,,,,,,
4695182,Conner O'Farrell,LB,Eastern Washington,Big Sky,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4695183,Trevor Thurman,DE,Eastern Washington,Big Sky,,,,,,,,,,,,,,0,,0,,0,1,,0,0,4,,,,,,,
4695185,Ahmani Williams,LB,Eastern Washington,Big Sky,,5.0,,,,,,1,,,,,,0,,0,,1,2,,00,1,5,,,5,,,,
4695186,Jackson Cleaver,PK,Eastern Washington,Big Sky,,,,,2,1,,,,45,,,0.500,,3,,,,,,,,,1,0,,,,,
4695192,Nolan Ulm,WR,Eastern Washington,Big Sky,,,,,,,,,,25,,,,,,,7,,,,1,,,,,56,,,,8.0
4695193,Efton Chism III,WR,Eastern Washington,Big Sky,2,7.4,,0,,,,0,,3267,,9,0.000,,,,119,,,,0013,,,,,0671300,0.0,,,10.9
4695194,Matthew Brown,DL,Eastern Washington,Big Sky,,,,,,,,,,,,,,0,,0,,0,3,,0,0,4,,,,,,,
4695195,Jett Carpenter,TE,Eastern Washington,Big Sky,,11.0,,,,,,,,1116,,1,,,,,8,,,,01,,,,,1160,,,,7.5
4695223,Chase Curtis,TE,TCU,Big 12,,,1,,,,,,,333,,,,,,,7,,,,10,,,,,773,,3.0,,11.0
4695231,Oscar Chapman,P,Auburn,SEC,,,1,,,,,,11,626,,41,,0,,0,,0,1,1,00,0,1,,,17416,,6.0,42.5,
4695254,Julian Ashby,LS,Vanderbilt,SEC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,2,,,,,,,
4695258,Luke Clark,LB,Furman,Southern,,6.0,,,,,,1,,,,,,0,,0,,0,1,,00,0,2,,,6,,,,
4695260,Dylan Davis,DL,Marshall,Sun Belt,,,,,,,,,,,,,,0,,1,,1,2,,0,1.5,19,,,,,,,
4695261,Evan DiMaggio,LB,Furman,Southern,,0.0,,,,,,1,,,,,,0,,1,,0,3,,00,0,5,,,0,,,,
4695267,Bailor Hughes,WR,Furman,Southern,,,27,,,,,,,1418,,,,,,,4,,,,00,,,,,22105,,3.9,,5.5
4695269,Jeremiah Jackson,DE,Furman,Southern,,,,,,,,,,,,,,0,,0,,0,0,,0,0,1,,,,,,,
4695280,Micah Robinson,DB,Tulane,American Athletic,,18.5,,,,,,2,,,,,,6,,0,,0,22,,11,0.5,29,,,37,,,,
4695286,Ivan Yates,CB,Colorado,Big 12,,,,,,,,,,,,,,0,,0,,0,4,,0,0,5,,,,,,,
4695287,Jonathan Bennett,RB,Samford,Southern,,,1,,,,,,,5,,,,,,,,,,,0,,,,,5,,5.0,,
4695294,Charlie Skehan,TE,Kent State,Mid-American,,,,,,,,,,18,,,,0,,0,1,0,2,,00,0,2,,,18,,,,18.0
4695298,Tedy Afful,WR,Duquesne,NEC,,2.0,1,,,,,,,2615,,1,,,,,45,,,,060,,,,,25685,,5.0,,12.6
4695303,Roland Dempster,RB,Stony Brook,CAA,,,268,,,,4,,,4054,2,,,,,,032,,,,118,,,,,3351332,,5.0,,10.5
4695304,Jayden Cook,RB,Stony Brook,CAA,,,4,,,,,,,334,,,,,,,7,,,,10,,,,,684,,1.0,,9.7
4695309,Kevonne Wilder,WR,Stony Brook,CAA,,19.00.0,,,,,1,,,211,1,22,,,,,0,,,,00,,,,,380,,,,
4695317,Nick Capazzola,TE,Stony Brook,CAA,,,,,,,0,,,,0,,,0,,0,1,0,0,,0,0,4,,,,,,,
4695318,Cole Bunicci,TE,Stony Brook,CAA,,,,,,,,,,63,,,,,,,14,,,,2,,,,,259,,,,18.5
4695334,Joey Spano,PK,Long Island University,NEC,,,,,,,,,0,53,,3,,,,,,,,0,,,,,,132,,,44.0,
4695336,Devin Love,DT,Southern Illinois,MVFC,,,,,,,,,,,,,,0,,0,,0,0,,0,0,2,,,,,,,
4695342,Jathen Jones,WR,Southern Illinois,MVFC,,,,,,,,,,55,,,,,,,5,,,,1,,,,,132,,,,26.4
4695344,Gianini Belizaire,DL,Indiana State,MVFC,,,,,,,,,,,,,,0,,0,,0,3,,0,0,3,,,,,,,
4695367,Dony'e Taylor,DB,Southeast Missouri State,Big South-OVC,,,,,,,,,,,,,,0,,0,,0,0,,0,0,2,,,,,,,
4695386,Steven Lewis,DL,Southeast Missouri State,Big South-OVC,,,1,,,,,,,27,,,,0,,0,,0,1,,00,0,4,,,27,,27.0,,
4695387,Jenson Walker,LS,North Texas,American Athletic,,,,,,,,,,,,,,0,,0,,0,2,,0,0,2,,,,,,,
4695399,Hunter Dustman,PK,South Dakota State,MVFC,,,,,20,14,,,18,4869,,42,0.700,,107,,,,,1,,,,66,65,1798,,,42.8,
4695400,Mark Gronowski,QB,South Dakota State,MVFC,313,,83,192,,,,7,0,332120,,1,0.613,,,,2,,,1,2209,,,,,25173324330,8.0,4.0,33.0,12.0
4695401,Daeton Mcgaughy,S,South Dakota State,MVFC,,,,,,,,,,,,,,0,,0,,0,3,,0,0,5,,,,,,,
4695405,Cale Reeder,S,South Dakota State,MVFC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,3,,,,,,,
4695407,Dalys Beanum,CB,South Dakota State,MVFC,,50.09.9,,,,,,1,,88,,14,,0,,0,,0,3,,000,0,7,,,50139,,,,
4695409,Steven Arrell,CB,South Dakota State,MVFC,,17.0,,,,,,2,,,,,,,,,,,,,0,,,,,34,,,,
4695410,Aaron Kusler,LB,South Dakota State,MVFC,,5.0,,,,,,,,10,,2,,,,,,,,,0,,,,,10,,,,
4695413,Caleb Francl,LB,South Dakota State,MVFC,,,,,,,,,,,,,,0,,0,,0,3,,0,1,8,,,,,,,
4695417,Jalen Lee,OL,South Dakota State,MVFC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4695420,Nate Sullivan Jr.,TE,UL Monroe,Sun Belt,,,,,,,,,,28,,,,,,,14,,,,0,,,,,133,,,,9.5
4695421,A.J. Coons,WR,South Dakota,MVFC,,,,,,,,,,37,,,,,,,5,,,,1,,,,,121,,,,24.2
4695425,Randy Keumogne,DE,South Dakota State,MVFC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4695426,Max Baloun,DT,South Dakota State,MVFC,,,,,,,,,,,,,,0,,0,,0,0,,0,0,2,,,,,,,
4695448,DJ Moyer,RB,Robert Morris,NEC,,,74,,,,1,,,815,1,,,,,,010,,,,05,,,,,30332,,4.5,,3.0
4695449,Dylan Tucker,CB,Elon,CAA,,26.0,,,,,0,1,,,0,,,0,,0,1,0,2,,00,0,4,,,26,,,,
4695456,Nick Veloz,LB,Elon,CAA,,,,,,,,,,,,,,0,,0,,0,2,,0,0,5,,,,,,,
4695458,Josh Johnson,DL,Elon,CAA,,,,,,,0,,,,0,,,0,,0,2,0,0,,0,1,2,,,,,,,
4695460,Caleb Krings,OL,Duke,ACC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4695462,Julian Bumper,WR,Elon,CAA,,0.0,15,,,,1,,,01610,0,1,,,,,03,,,,001,,,,,02755,,3.7,,9.0
4695486,Rodney Robinson,S,Boise State,Mountain West,,,,,,,,,,,,,,2,,2,,3.5,31,,0,6.0,47,,,,,,,
4695497,Cole Wright,WR,UC Davis,Big Sky,,,,,,,,,,9,,,,,,,1,,,,0,,,,,9,,,,9.0
4695498,Andy Nwaoko,DE,Middle Tennessee,Conference USA,,,,,,,,,,,,,,0,,1,,0.5,2,,0,0.5,6,,,,,,,
4695580,Malcolm Johnson Jr.,WR,Bowling Green,Mid-American,,,1,,,,,,,500,,,,0,,1,47,0,0,,020,0,0,,,504-4,,-4.0,,10.7
4695594,Devon Edwards,LB,Lindenwood,Big South-OVC,,,,,,,,,,,,,,0,,1,,0,5,,0,0,8,,,,,,,
4695600,Bryson Barnes,QB,Utah State,Mountain West,126,,68,77,,,1,6,,63,0,,0.611,0,,0,0,0,2,,0125,0,2,,,856530,6.8,7.8,,
4695604,Tanner Cragun,PK,Utah State,Mountain West,,,,,9,7,,,,40,,,0.778,,57,,,,,,,,,37,36,,,,,
4695607,Junior Tafuna,DT,Utah,Big 12,,0.0,,,,,0,1,,,0,,,3,,2,1,0.5,9,,00,3.0,31,,,0,,,,
4695609,Zemaiah Vaughn,CB,Utah,Big 12,,60.0,,,,,,1,,,,,,5,,0,,2,34,,11,5,39,,,60,,,,
4695616,Isaiah Chavez,QB,New Mexico,Mountain West,,,1,,,,,,,1,,,,0,,0,,0,1,,00,0,1,,,1,,1.0,,
4695618,Kyler Drake,DL,New Mexico,Mountain West,,,,,,,,,,,,,,0,,2,,0,6,,0,1,18,,,,,,,
4695622,Cody Moon,LB,San Diego State,Mountain West,,,,,,,,,,,,,,0,,1,,0,13,,0,1.5,28,,,,,,,
